,id,sex,age_cat,race,priors_count,c_charge_degree,two_year_recid
130,199,0,0,0,2,1,0
132,202,0,0,0,0,0,1
134,206,,0,0,10,1,1
135,208,,0,0,,0,1
137,210,0,0,1,3,1,1
138,213,,0,0,2,0,1
139,215,0,0,1,1,0,0
140,216,0,1,0,1,1,1
141,218,1,1,0,4,1,0
142,220,1,2,1,1,1,0
143,222,1,0,0,0,0,0
144,223,0,0,1,9,1,1
145,224,0,0,1,11,1,1
147,227,1,0,1,0,1,1
148,228,,0,1,,1,1
150,231,1,2,1,0,1,0
151,232,1,0,0,0,0,0
152,234,1,1,1,1,1,1
158,241,1,0,1,2,0,1
160,243,0,0,0,1,0,0
161,244,1,0,0,3,1,1
163,246,0,1,0,2,0,0
164,248,0,2,1,,1,0
165,249,0,1,0,6,1,1
166,251,1,1,0,6,1,0
167,252,0,0,0,0,1,0
168,254,0,0,1,1,0,1
172,260,0,1,1,8,1,0
173,262,1,0,0,6,1,0
174,263,0,1,0,1,1,0
176,265,0,0,1,6,0,1
179,268,0,1,0,1,0,1
180,269,,1,0,0,1,0
183,275,0,2,1,1,1,1
184,277,0,1,1,23,0,1
185,278,0,2,1,0,0,1
187,280,1,0,0,2,1,1
188,281,0,1,1,3,1,0
189,282,0,1,0,8,0,1
191,286,0,0,1,13,1,1
193,288,,0,0,0,1,1
195,291,0,1,0,2,1,0
196,293,0,2,1,0,1,1
197,294,0,0,1,2,0,0
198,297,1,2,1,1,0,0
200,299,0,1,0,1,1,0
201,300,1,0,0,0,0,0
202,301,0,0,0,4,0,0
203,302,1,0,1,23,1,1
205,306,0,0,1,,1,1
208,311,,0,0,11,1,1
209,313,1,0,0,7,1,1
211,316,0,0,0,2,0,0
212,317,1,0,1,,1,0
213,319,,1,0,7,1,1
214,320,0,0,1,15,1,0
216,322,0,1,1,3,1,0
218,325,0,1,0,1,1,0
219,326,1,1,0,0,0,1
220,327,0,1,0,0,0,0
222,330,0,1,1,0,1,0
223,331,0,0,0,4,1,1
224,332,,0,1,2,1,0
226,334,0,0,1,,1,1
227,335,0,0,1,0,0,0
230,338,0,2,1,2,1,0
232,344,0,0,1,0,0,0
233,345,0,1,0,0,1,0
234,347,0,0,0,13,1,1
235,348,0,1,1,0,1,0
236,349,,0,0,1,1,0
237,350,0,0,1,11,0,1
238,351,,0,0,1,1,0
239,354,0,2,1,0,1,0
240,355,0,0,1,4,1,0
242,357,0,0,0,0,1,1
243,358,0,0,0,0,1,1
244,359,0,0,1,14,1,0
245,360,0,0,1,4,0,0
246,361,0,1,0,1,0,0
247,362,0,0,1,,1,1
248,363,0,0,0,8,0,1
249,364,0,0,1,0,1,0
250,366,0,2,0,1,0,1
253,374,0,0,0,8,1,1
254,375,0,0,0,4,1,0
256,377,1,2,0,1,0,1
257,378,0,0,1,3,0,1
260,382,1,2,0,5,1,1
263,385,0,2,1,1,1,1
266,390,0,0,1,4,1,0
267,392,0,0,0,2,0,0
268,393,1,0,1,2,1,0
271,399,1,1,1,0,1,0
272,400,1,2,1,0,1,1
275,404,0,0,0,0,1,0
276,405,0,0,0,0,1,1
277,406,0,0,1,11,1,1
278,407,0,2,1,3,0,1
279,408,1,2,0,1,1,0
281,410,0,0,0,2,1,0
282,411,1,0,1,2,0,0
284,415,0,0,1,24,0,0
285,416,0,1,1,3,1,1
286,417,0,0,1,0,1,0
287,423,0,0,0,3,1,0
288,424,0,0,1,3,0,1
289,425,0,1,0,1,0,0
290,426,0,1,0,6,1,1
291,428,0,1,0,3,1,0
292,429,0,2,1,0,0,1
293,430,0,0,1,1,0,1
295,432,0,0,0,5,0,0
297,435,,0,1,5,0,0
298,437,0,2,0,0,1,1
301,440,0,0,1,6,1,1
303,442,0,0,0,1,0,1
304,445,0,1,0,2,1,0
305,446,1,2,1,0,0,0
308,452,0,1,0,0,1,0
309,454,0,0,1,4,0,1
310,456,0,0,0,5,1,0
312,459,1,0,1,5,1,0
315,463,0,0,0,0,0,1
316,464,0,0,0,,0,1
317,465,1,0,0,0,1,0
319,468,0,0,1,0,1,0
320,469,0,2,1,0,1,1
321,474,1,1,0,0,0,0
322,475,0,1,0,0,0,0
325,481,,1,0,6,1,0
326,484,,0,0,8,1,0
328,487,0,1,0,36,1,1
329,489,0,0,0,2,0,1
330,493,,1,1,1,1,0
332,495,1,0,1,0,1,0
333,496,1,0,0,2,0,1
335,499,0,0,0,1,1,0
336,500,1,2,1,0,1,1
337,501,0,0,0,,0,0
338,502,0,2,1,0,1,0
339,503,0,0,1,3,1,1
342,509,1,0,0,0,0,0
345,512,1,0,1,2,1,0
350,522,0,0,0,0,1,0
351,523,0,2,1,,1,1
354,526,,2,0,,1,0
355,527,0,1,0,0,0,0
356,530,0,2,0,2,1,0
357,531,0,0,1,6,0,1
358,532,0,2,0,0,1,0
359,533,1,2,1,0,1,1
360,537,0,1,1,3,1,0
361,538,0,0,1,2,0,0
362,540,1,1,0,0,0,0
363,541,1,0,1,0,0,0
368,547,0,0,0,0,1,0
369,548,0,2,1,1,1,0
370,552,0,2,0,2,0,1
371,553,0,1,1,18,1,0
372,557,,2,1,4,1,1
374,561,0,0,0,,0,0
375,563,1,1,0,1,0,1
376,565,0,0,0,0,1,1
377,566,0,0,1,7,1,1
378,567,1,1,0,1,0,0
379,569,,2,1,0,1,0
381,573,0,0,1,1,0,0
382,574,0,2,0,1,0,0
383,576,0,0,1,6,1,1
385,580,0,2,0,3,0,0
386,581,0,0,1,23,1,1
387,584,0,0,1,2,1,0
390,588,0,0,1,7,1,0
391,590,0,1,0,23,1,1
392,594,1,1,0,0,0,0
393,597,0,0,1,12,1,1
395,599,,0,0,3,0,0
397,601,0,1,0,5,1,1
399,603,0,0,1,2,1,0
400,604,0,2,1,0,0,1
402,608,0,0,0,0,1,0
403,609,0,1,0,2,1,0
404,611,0,1,1,5,1,0
405,612,0,0,1,9,1,1
406,613,0,1,0,4,1,1
410,622,,0,0,0,0,0
411,623,,1,0,,0,0
412,624,1,2,1,0,1,0
413,625,1,0,1,1,1,1
415,628,0,0,0,0,0,1
417,630,0,2,0,0,1,0
418,633,1,1,0,2,0,0
419,635,0,0,1,7,0,1
420,637,0,2,0,,1,1
421,638,0,0,1,8,1,1
423,640,0,2,1,0,1,1
424,641,0,0,0,0,0,1
425,643,0,0,1,8,1,0
427,645,0,2,1,,1,0
429,647,,0,0,0,1,0
431,649,0,0,0,3,0,0
432,651,0,0,1,3,1,0
433,653,0,2,0,3,1,1
434,654,0,0,0,0,1,0
437,659,,2,0,1,1,1
438,660,0,0,0,2,0,0
439,662,1,2,0,0,1,0
440,664,0,0,0,0,0,0
445,675,0,1,0,4,1,0
446,678,1,1,1,3,1,0
447,679,0,0,1,1,0,0
449,681,0,2,0,0,0,0
450,684,0,1,1,16,1,0
451,685,,1,1,2,1,1
452,686,0,0,0,,0,1
455,689,1,1,1,16,1,0
456,691,0,0,1,,0,1
457,692,0,0,1,3,1,1
458,693,0,1,0,6,1,1
459,694,0,0,0,1,1,1
461,697,0,1,1,5,1,1
463,701,0,0,1,5,1,0
464,703,0,1,0,2,1,0
466,707,0,2,1,6,1,0
467,708,0,1,1,28,1,1
468,709,0,0,1,8,1,1
469,711,1,2,1,6,1,1
471,713,0,1,1,,0,1
472,715,0,2,0,1,0,1
473,716,0,0,1,1,0,0
475,720,0,1,0,,1,0
477,722,0,0,0,3,1,0
478,724,0,1,0,3,1,0
479,726,0,0,0,4,1,1
480,727,0,1,0,,1,0
482,729,0,1,0,1,1,1
486,737,1,2,0,6,1,1
487,738,0,2,0,2,0,1
488,739,0,0,1,2,0,0
490,743,0,0,1,1,1,0
491,745,1,0,0,0,0,0
492,750,,0,0,6,1,1
493,752,0,0,0,0,0,1
496,756,1,1,0,0,0,0
497,757,0,0,1,0,1,0
500,762,0,0,0,1,0,1
503,765,0,1,1,33,1,1
504,769,0,0,0,2,1,0
505,770,0,1,0,1,0,0
506,771,0,0,0,1,1,0
507,774,0,0,1,1,1,0
508,775,0,1,0,4,0,0
511,785,1,0,1,0,0,0
512,786,1,1,0,0,0,0
515,789,0,0,1,,0,0
518,793,0,1,1,10,1,1
520,796,0,2,0,0,1,0
521,798,,1,0,1,1,1
522,800,0,1,1,0,0,1
525,805,0,0,0,4,1,1
526,806,0,2,0,0,1,0
527,807,0,2,0,0,0,0
528,808,0,0,0,6,1,0
529,810,0,0,1,1,0,1
532,814,0,0,0,1,1,1
533,815,,2,0,0,1,1
535,818,0,0,0,0,1,0
538,823,0,0,1,14,1,1
539,825,0,2,0,,0,1
540,829,,2,0,6,1,1
542,831,0,1,0,1,0,0
543,835,0,0,1,5,1,1
545,837,0,1,0,2,1,1
547,840,0,0,1,0,1,0
548,841,0,2,0,,1,0
551,844,0,1,1,6,1,0
552,847,0,0,1,3,1,0
556,851,0,1,0,1,0,0
559,855,0,0,1,0,1,0
560,856,0,0,0,1,1,0
562,858,1,0,1,0,0,0
564,861,0,0,0,2,1,1
565,863,0,0,0,5,1,0
567,867,0,0,1,5,0,1
568,869,0,0,0,11,0,0
569,870,,0,1,6,1,1
570,871,0,0,0,0,0,0
571,872,0,0,1,15,1,0
574,879,0,2,0,1,1,0
576,881,1,1,0,2,0,1
577,882,0,1,0,5,1,1
578,883,0,0,0,8,1,1
579,884,0,1,0,0,0,1
580,886,1,1,0,0,0,0
582,888,,2,0,0,0,0
583,889,0,2,0,1,0,0
588,897,0,2,1,4,1,1
589,898,0,0,1,4,1,0
591,900,1,2,0,0,1,0
592,901,0,0,1,0,0,0
595,906,1,2,0,0,1,0
596,909,0,2,1,1,1,0
597,913,0,0,1,3,0,1
598,914,0,0,1,3,0,1
599,915,0,1,1,17,1,1
600,916,0,0,1,0,1,0
601,917,0,2,1,11,1,1
604,921,0,0,1,1,0,0
605,922,0,0,0,6,1,1
607,924,1,1,0,0,0,0
608,925,0,0,0,2,0,0
609,926,0,0,1,,0,1
610,927,0,0,0,0,1,0
613,934,0,0,1,4,1,1
614,935,0,1,0,0,0,0
616,943,0,0,0,2,0,1
618,945,0,0,1,6,0,0
620,947,1,2,0,3,1,0
621,948,1,2,1,0,0,0
622,949,1,2,0,2,1,1
625,955,,1,1,15,1,1
629,960,0,0,0,3,1,1
630,962,0,0,0,5,0,0
631,963,0,0,0,1,1,0
632,964,0,2,0,3,1,1
634,967,0,0,1,18,1,1
635,968,1,0,0,0,1,1
638,973,1,1,0,,0,1
639,975,0,2,1,0,1,0
640,977,1,2,1,0,1,0
641,978,0,0,1,0,1,0
642,979,0,2,0,1,1,1
643,983,0,2,0,2,1,1
644,986,0,0,0,3,1,1
647,990,1,1,0,1,1,0
648,991,0,2,1,4,1,0
649,993,0,0,0,2,1,1
650,995,0,0,1,0,1,1
651,996,0,2,1,1,1,1
652,997,1,0,1,9,1,1
653,998,0,0,1,13,1,1
654,999,0,0,0,1,1,1
656,1001,0,1,1,20,1,0
658,1003,0,0,1,1,0,1
660,1005,0,1,1,2,0,1
661,1006,0,0,1,0,0,0
662,1007,1,0,1,0,1,0
663,1008,0,1,0,1,0,0
666,1015,0,0,1,11,1,0
668,1017,0,0,0,5,1,0
669,1018,0,0,1,2,0,0
671,1022,,0,1,0,0,0
672,1023,1,1,0,2,1,0
673,1024,,0,1,,0,0
674,1025,0,0,1,0,0,1
675,1026,0,1,1,17,1,1
676,1027,0,2,1,3,1,0
677,1030,1,0,0,0,0,0
678,1031,1,0,0,15,1,1
680,1034,0,2,1,2,0,1
683,1038,0,1,0,3,1,1
686,1043,0,0,1,5,1,0
688,1046,0,0,1,1,0,0
689,1048,0,0,1,14,1,1
690,1049,0,1,0,2,1,0
692,1054,0,2,1,2,1,0
693,1055,0,0,1,4,1,1
694,1056,0,1,0,2,1,1
695,1057,0,1,1,20,1,1
696,1058,0,0,1,2,0,0
697,1059,0,2,1,1,0,0
698,1060,,0,1,1,1,0
699,1061,,1,1,0,1,0
700,1062,0,0,1,6,1,0
702,1065,0,0,1,10,1,1
703,1066,0,0,0,1,1,0
704,1068,1,1,0,9,1,1
705,1069,,1,0,1,1,0
707,1072,0,0,1,,1,0
709,1076,,1,0,2,1,0
710,1077,0,2,1,0,1,1
711,1079,0,0,1,5,1,1
712,1081,0,0,1,1,0,0
715,1086,,2,1,1,1,0
716,1087,0,0,0,1,1,1
717,1088,0,1,0,0,1,0
718,1089,0,0,0,0,0,1
720,1093,0,2,0,0,0,0
721,1094,0,0,0,0,1,1
722,1096,0,1,0,0,0,0
723,1097,0,0,0,2,0,0
724,1099,,2,0,1,1,0
726,1103,0,2,1,0,1,0
727,1105,0,0,0,11,1,1
728,1106,0,0,0,1,1,0
729,1107,0,2,0,1,1,1
730,1109,0,1,1,0,1,1
731,1110,1,0,1,4,1,1
732,1111,,1,1,2,1,0
733,1118,,1,0,1,1,0
734,1119,0,2,1,6,1,1
735,1120,0,2,1,0,1,0
737,1122,,2,1,0,1,0
738,1123,0,1,1,11,1,0
739,1125,0,0,1,10,1,1
740,1127,0,2,1,0,1,0
741,1128,1,2,0,0,0,0
743,1130,0,0,0,22,1,1
744,1131,,2,1,0,1,1
745,1132,1,1,0,0,1,0
746,1135,,2,0,1,1,0
747,1136,0,0,1,,0,1
748,1138,1,0,1,1,0,0
750,1141,0,0,1,,0,0
751,1142,1,0,1,0,1,0
752,1143,0,2,1,0,1,1
755,1146,0,0,1,4,1,1
757,1150,1,1,1,19,1,1
760,1153,1,2,0,1,1,1
761,1156,1,2,1,0,1,0
763,1158,0,1,0,18,1,1
765,1160,1,2,1,0,1,0
766,1162,0,0,1,5,1,1
769,1166,0,0,1,,1,1
770,1167,0,0,1,2,0,0
771,1169,0,0,1,1,0,0
774,1172,0,0,1,0,0,0
776,1176,0,0,0,0,0,0
777,1177,0,1,0,0,0,0
778,1179,0,0,1,4,1,0
780,1186,0,2,0,1,0,1
781,1187,0,2,0,2,1,1
782,1191,0,2,0,0,1,1
784,1193,0,1,0,0,1,0
786,1195,1,0,1,3,1,0
787,1196,0,0,0,0,0,0
788,1197,0,2,1,1,1,1
789,1198,0,0,0,2,0,0
790,1200,0,2,1,0,1,1
793,1205,0,1,1,0,0,0
795,1207,0,0,0,2,1,1
796,1208,0,1,0,2,0,0
797,1209,0,2,0,0,1,0
799,1213,1,0,1,1,0,0
801,1216,0,0,0,2,1,0
802,1217,0,0,1,3,1,1
803,1219,1,0,1,0,0,0
804,1220,0,0,1,0,1,0
807,1223,1,2,0,1,0,1
810,1228,1,0,0,1,1,0
811,1229,0,0,1,7,1,0
812,1230,0,2,1,0,1,0
813,1231,0,0,0,0,0,0
814,1233,0,0,0,,1,0
816,1235,0,0,1,14,1,1
817,1237,,0,1,0,0,0
818,1238,1,0,0,1,0,1
821,1241,0,0,0,1,0,1
823,1243,0,0,0,0,0,0
824,1244,0,1,0,2,1,0
825,1246,0,0,1,3,0,1
827,1248,0,0,0,2,0,0
828,1250,0,0,1,13,1,1
832,1255,0,0,1,3,1,1
834,1257,,2,1,1,0,1
835,1258,0,1,1,9,0,1
836,1259,0,0,0,5,1,1
838,1261,0,0,1,4,0,0
839,1262,0,1,0,4,0,0
840,1268,0,0,1,1,1,1
841,1269,0,0,1,2,0,0
842,1271,1,2,1,0,0,1
843,1272,0,0,1,6,1,1
845,1275,,1,0,0,1,0
846,1276,0,2,1,,0,1
847,1280,,0,0,4,0,1
848,1281,1,0,0,1,0,1
849,1282,,2,1,1,1,0
850,1283,0,2,1,,1,1
851,1286,0,2,0,3,1,1
852,1290,0,0,1,4,0,1
853,1292,0,1,0,1,1,0
854,1293,0,2,1,5,1,1
855,1295,0,0,0,0,1,0
856,1296,,1,0,0,1,0
858,1298,0,2,1,7,0,0
859,1300,,2,0,0,0,0
860,1303,0,2,1,1,1,1
861,1304,,0,1,1,1,0
862,1305,0,0,1,9,0,0
864,1310,1,2,0,1,1,0
865,1313,,0,1,0,1,1
866,1314,0,0,1,25,0,1
867,1315,0,2,1,0,1,0
868,1318,,0,1,13,1,1
872,1324,0,0,0,0,1,0
875,1328,1,0,1,1,0,0
876,1329,0,2,0,1,1,1
877,1330,0,0,0,3,1,0
881,1335,1,0,0,4,0,0
882,1336,0,1,0,1,1,0
884,1342,0,0,1,1,1,0
887,1345,0,2,0,,0,1
888,1346,,0,1,4,1,0
889,1347,1,0,0,1,1,1
892,1351,0,0,1,,1,1
893,1352,0,0,0,0,1,1
894,1353,0,1,0,1,1,1
897,1358,0,0,1,3,0,1
898,1360,0,0,1,3,1,1
899,1361,0,0,1,5,0,1
901,1366,1,0,0,0,0,0
902,1367,0,0,1,0,1,1
903,1368,0,0,0,4,0,0
904,1369,1,0,0,3,0,0
905,1370,1,1,0,0,0,0
906,1372,0,2,0,0,1,0
910,1379,0,2,1,1,1,1
913,1384,0,1,0,1,1,0
914,1385,0,0,1,4,0,1
915,1388,1,1,0,1,1,1
916,1393,0,1,1,3,1,1
917,1395,0,2,1,2,1,1
920,1399,0,0,0,2,1,0
921,1402,0,1,1,0,0,0
922,1403,0,2,1,5,1,1
928,1419,1,0,0,1,0,0
930,1424,0,1,0,4,1,1
931,1427,0,0,1,14,1,1
932,1428,0,2,1,2,1,0
935,1431,0,0,0,1,1,0
937,1435,0,0,1,2,0,1
939,1438,1,0,0,0,1,0
940,1439,0,2,0,0,1,0
942,1443,0,1,1,0,1,1
943,1445,0,0,1,7,1,1
944,1446,0,0,0,2,1,0
945,1447,0,0,0,,1,0
946,1448,0,2,0,0,0,0
947,1452,1,2,0,0,0,1
948,1455,0,1,1,0,1,0
949,1456,0,0,1,10,1,1
950,1458,0,2,0,0,0,0
952,1461,0,2,1,2,1,1
956,1467,0,0,1,10,1,1
958,1471,0,2,0,,0,1
959,1472,0,0,0,2,1,0
961,1474,1,2,1,0,1,0
963,1479,0,1,1,6,0,1
965,1482,1,2,1,6,0,0
966,1483,0,0,1,1,0,0
967,1484,0,0,0,8,1,1
970,1488,0,0,1,5,0,1
971,1490,0,0,1,4,0,1
972,1491,1,0,1,3,1,0
973,1496,0,2,1,,1,1
974,1497,0,0,0,,1,0
975,1498,0,1,0,1,1,0
976,1499,0,0,1,6,1,1
977,1501,0,0,0,0,0,0
978,1505,0,2,1,,1,1
979,1506,1,0,0,4,1,1
980,1508,,2,1,0,0,0
983,1512,0,1,1,,0,0
984,1513,0,0,1,6,1,1
985,1515,0,1,1,17,0,0
987,1517,0,0,1,3,1,1
989,1520,0,2,0,2,1,0
993,1529,1,0,1,8,0,1
997,1533,0,0,1,1,1,0
998,1534,,0,1,2,1,0
1001,1538,,0,0,6,1,0
1002,1540,0,0,1,2,1,0
1007,1548,0,0,1,6,1,1
1008,1549,0,2,1,1,1,1
1009,1550,0,1,0,,1,0
1013,1556,0,0,1,5,1,1
1014,1557,1,1,1,0,1,0
1015,1558,1,0,1,3,0,0
1016,1559,0,2,0,3,0,0
1019,1563,1,1,1,5,1,0
1020,1565,0,0,1,16,1,1
1021,1566,0,1,1,8,1,0
1023,1569,1,0,1,5,0,1
1024,1571,0,1,0,0,1,0
1025,1572,0,0,1,1,1,0
1027,1575,0,0,1,3,0,1
1028,1576,0,0,1,13,0,1
1030,1578,,0,0,1,1,0
1031,1581,0,1,0,,0,0
1033,1587,0,1,0,,1,0
1034,1588,0,0,1,1,0,1
1036,1591,1,1,0,0,0,0
1037,1594,1,2,1,0,0,0
1038,1595,0,1,1,17,1,1
1041,1599,1,0,0,0,0,0
1042,1601,0,0,0,2,0,1
1043,1602,0,0,1,2,0,0
1044,1604,0,0,1,4,0,1
1046,1606,1,0,1,0,1,0
1047,1607,1,0,1,4,1,1
1048,1608,1,1,0,30,0,1
1049,1611,0,1,1,4,1,0
1050,1613,0,0,1,2,1,0
1051,1615,1,0,0,0,1,0
1053,1620,0,1,0,0,1,0
1054,1622,0,1,1,2,1,0
1055,1623,0,1,1,19,1,0
1056,1624,0,2,1,5,1,1
1058,1626,0,0,1,,1,1
1059,1627,1,2,1,1,1,0
1060,1629,0,0,1,2,1,0
1061,1630,1,1,0,4,1,0
1062,1631,0,1,0,,1,1
1063,1632,0,0,1,,1,1
1064,1634,0,0,0,3,1,0
1068,1640,0,1,0,2,0,0
1069,1642,0,0,0,1,0,0
1070,1643,0,0,0,0,1,0
1072,1645,1,2,1,1,1,1
1074,1648,0,1,0,0,1,0
1075,1651,0,1,1,1,1,1
1076,1652,0,1,0,2,1,0
1077,1653,0,0,0,6,0,0
1078,1655,0,2,1,1,0,1
1080,1657,0,0,1,0,1,0
1082,1660,0,0,1,9,1,1
1084,1664,0,0,0,2,0,0
1085,1665,0,0,1,1,0,0
1086,1666,1,1,0,2,1,1
1087,1667,0,2,0,0,0,1
1089,1669,1,0,0,5,1,1
1091,1672,1,2,1,0,1,0
1092,1673,0,0,0,7,0,1
1093,1674,0,2,1,1,1,0
1094,1676,1,1,0,1,0,0
1095,1678,0,1,1,3,1,0
1096,1680,0,1,0,8,1,0
1097,1681,0,1,1,7,1,0
1098,1682,0,0,0,3,1,0
1099,1683,1,0,1,4,0,1
1100,1684,1,2,0,2,1,0
1102,1686,1,2,1,3,1,1
1104,1689,,1,0,3,0,1
1105,1691,0,0,0,4,0,0
1106,1692,0,1,0,1,0,0
1109,1698,1,2,0,0,0,0
1110,1699,1,0,0,1,1,0
1113,1702,0,0,1,16,1,1
1114,1704,1,1,0,0,0,1
1115,1705,0,0,1,10,1,0
1116,1706,0,0,1,4,0,1
1117,1707,0,2,1,0,1,0
1118,1709,0,0,1,12,0,1
1119,1710,0,0,0,0,0,0
1120,1711,1,0,0,0,0,0
1121,1714,0,0,0,1,1,0
1122,1715,,0,1,9,1,1
1123,1716,0,0,0,11,1,0
1124,1717,0,0,1,5,1,1
1125,1718,0,0,1,11,1,1
1126,1719,,1,1,1,1,1
1127,1724,0,1,0,1,1,1
1129,1727,1,1,1,1,1,0
1130,1728,0,0,0,7,0,1
1132,1730,0,1,1,5,1,0
1133,1731,0,1,0,1,1,0
1134,1733,1,1,0,6,0,0
1135,1734,1,0,0,0,0,0
1136,1735,0,0,0,0,0,0
1137,1736,1,2,1,0,1,0
1138,1737,1,0,1,14,1,0
1139,1741,0,2,1,5,1,1
1141,1746,0,0,0,,0,1
1142,1747,0,0,0,3,0,0
1143,1749,,1,0,0,0,0
1144,1750,0,2,0,0,1,1
1145,1752,1,1,0,0,1,0
1146,1754,0,0,0,0,0,0
1148,1756,1,1,0,1,1,1
1149,1757,,0,0,0,0,0
1150,1759,0,0,0,17,0,1
1151,1760,0,0,0,4,1,1
1152,1764,1,0,0,0,0,0
1154,1768,0,1,1,0,1,0
1155,1770,0,2,1,2,1,1
1158,1774,0,2,0,,0,0
1159,1776,0,2,1,0,1,1
1160,1777,1,2,1,3,1,0
1161,1780,1,0,1,2,1,0
1162,1781,0,0,0,3,0,0
1164,1786,0,0,1,9,0,0
1165,1787,0,2,1,0,1,0
1167,1791,0,0,1,9,1,1
1169,1794,0,1,1,3,1,0
1171,1796,0,2,1,,1,1
1173,1798,0,0,1,4,1,1
1174,1800,,1,1,4,0,0
1175,1801,1,2,1,0,0,0
1176,1803,0,0,0,0,0,0
1177,1804,0,0,1,1,0,0
1179,1806,1,0,0,2,1,1
1183,1816,1,0,0,11,1,1
1184,1817,1,0,1,6,1,1
1186,1820,0,1,1,3,1,0
1187,1821,,0,0,3,0,0
1188,1822,,0,0,2,1,1
1190,1826,,1,0,2,0,0
1191,1827,0,0,1,5,1,0
1192,1829,1,0,0,,1,0
1193,1830,0,2,1,0,0,1
1194,1832,1,0,1,2,1,0
1196,1834,0,0,0,0,1,0
1197,1840,1,1,0,12,1,0
1198,1841,1,0,0,1,0,0
1200,1844,0,1,0,8,1,1
1201,1845,1,0,1,1,1,0
1202,1846,0,2,1,1,1,0
1203,1847,0,0,1,0,0,0
1204,1848,0,0,0,0,1,1
1205,1849,0,0,1,,1,1
1206,1850,0,0,1,4,1,1
1207,1852,0,0,1,,1,1
1208,1853,0,0,0,0,1,0
1209,1854,0,0,1,3,1,0
1210,1856,0,2,0,1,1,0
1212,1860,0,2,0,1,1,1
1213,1861,0,0,1,1,1,1
1214,1862,0,0,1,0,0,1
1215,1863,,0,1,3,1,1
1217,1865,0,0,0,,1,0
1219,1868,0,2,1,0,0,0
1220,1869,0,1,0,0,0,0
1221,1870,0,2,1,0,1,0
1222,1871,1,0,1,2,1,1
1223,1872,0,0,1,0,0,0
1224,1873,1,0,0,1,1,0
1225,1874,1,0,0,1,0,0
1226,1875,0,0,0,2,0,1
1227,1876,,1,0,3,0,0
1228,1877,0,2,1,2,0,1
1229,1879,0,2,1,,1,0
1232,1882,0,2,1,8,1,1
1235,1886,0,1,1,12,1,0
1236,1888,0,0,1,6,0,0
1237,1890,0,0,1,2,0,1
1238,1893,,2,0,4,0,0
1239,1894,0,0,1,0,0,1
1240,1895,0,0,1,4,1,1
1241,1897,0,2,0,1,1,1
1243,1900,0,0,0,10,1,1
1244,1901,1,0,0,0,1,1
1245,1904,0,0,1,1,1,0
1247,1906,0,0,0,3,0,0
1248,1907,0,2,1,1,1,1
1249,1908,0,2,0,,0,1
1250,1909,0,1,0,0,0,0
1251,1910,0,1,0,3,1,1
