,sex,age_cat,race,priors_count,c_charge_degree,two_year_recid
99,Male,Less than 25,1,1,M,1
102,Female,25 - 45,0,0,F,1
103,Male,Less than 25,0,8,F,1
104,,25 - 45,0,0,F,0
105,Male,25 - 45,0,0,M,0
106,Female,25 - 45,0,1,F,0
107,,Greater than 45,1,14,F,1
108,Male,25 - 45,0,1,F,0
109,Male,Less than 25,1,3,F,1
110,Male,25 - 45,0,5,M,1
111,Male,25 - 45,0,0,F,0
113,Male,25 - 45,1,3,F,0
114,Male,25 - 45,0,1,F,1
117,Male,25 - 45,1,28,F,1
120,Male,25 - 45,0,13,F,1
121,Male,25 - 45,1,3,F,1
123,,Greater than 45,0,3,M,0
125,Female,Greater than 45,0,2,M,0
126,,Less than 25,0,4,F,1
127,Male,25 - 45,0,6,F,0
128,Female,25 - 45,0,,F,0
129,Male,25 - 45,0,1,M,0
130,Male,25 - 45,0,2,F,0
132,Male,25 - 45,0,0,M,1
133,Female,Less than 25,1,0,M,0
134,,25 - 45,0,10,F,1
135,Male,25 - 45,0,2,M,1
137,Male,25 - 45,1,3,F,1
138,Male,25 - 45,0,2,M,1
139,Male,25 - 45,1,1,M,0
140,Male,Greater than 45,0,1,F,1
141,Female,Greater than 45,0,4,F,0
142,Female,Less than 25,1,1,F,0
143,Female,25 - 45,0,0,M,0
145,Male,25 - 45,1,11,F,1
146,Male,25 - 45,1,8,M,1
147,Female,25 - 45,1,0,F,1
148,Female,25 - 45,1,7,F,1
149,Male,25 - 45,1,2,F,1
150,Female,Less than 25,1,0,F,0
151,Female,25 - 45,0,0,M,0
152,Female,Greater than 45,1,1,F,1
158,Female,25 - 45,1,2,M,1
159,Male,Greater than 45,1,3,M,0
160,Male,25 - 45,0,1,M,0
161,Female,25 - 45,0,3,F,1
163,Male,Greater than 45,0,2,M,0
164,Male,Less than 25,1,1,F,0
165,Male,Greater than 45,0,6,F,1
166,Female,Greater than 45,0,,F,0
167,Male,25 - 45,0,0,F,0
168,Male,25 - 45,1,1,M,1
170,Female,25 - 45,1,5,F,0
172,Male,Greater than 45,1,8,F,0
173,Female,25 - 45,0,6,F,0
174,Male,Greater than 45,0,1,F,0
179,,Greater than 45,0,1,M,1
180,Male,Greater than 45,0,0,F,0
182,,25 - 45,1,,F,1
183,Male,Less than 25,1,1,F,1
185,Male,Less than 25,1,0,M,1
187,,25 - 45,0,2,F,1
188,Male,Greater than 45,1,3,F,0
189,Male,Greater than 45,0,,M,1
191,Male,25 - 45,1,13,F,1
192,Male,25 - 45,1,2,M,1
193,Male,25 - 45,0,0,F,1
195,Male,Greater than 45,0,2,F,0
197,Male,25 - 45,1,2,M,0
200,Male,Greater than 45,0,1,F,0
201,Female,25 - 45,0,0,M,0
202,Male,25 - 45,0,4,M,0
203,Female,25 - 45,1,23,F,1
205,Male,25 - 45,1,2,F,1
206,Male,25 - 45,1,0,M,0
207,Female,25 - 45,1,0,F,0
208,Male,25 - 45,0,11,F,1
209,Female,25 - 45,0,7,F,1
210,Male,25 - 45,1,2,F,0
211,Male,25 - 45,0,2,M,0
212,Female,25 - 45,1,1,F,0
213,Male,Greater than 45,0,7,F,1
214,Male,25 - 45,1,15,F,0
215,Male,25 - 45,1,2,M,0
216,Male,Greater than 45,1,3,F,0
218,Male,Greater than 45,0,1,F,0
219,Female,Greater than 45,0,0,M,1
220,,Greater than 45,0,0,M,0
222,Male,Greater than 45,1,0,F,0
223,Male,25 - 45,0,4,F,1
224,Female,25 - 45,1,2,F,0
225,Female,25 - 45,1,5,M,0
227,Male,25 - 45,1,0,M,0
229,Male,Greater than 45,1,11,F,0
231,Female,25 - 45,1,2,F,1
232,Male,25 - 45,1,0,M,0
233,Male,Greater than 45,0,0,F,0
234,Male,25 - 45,0,13,F,1
235,Male,Greater than 45,1,0,F,0
236,Male,25 - 45,0,1,F,0
237,Male,25 - 45,1,11,M,1
238,Male,25 - 45,0,1,F,0
239,Male,Less than 25,1,0,F,0
242,Male,25 - 45,0,0,F,1
243,Male,25 - 45,0,0,F,1
245,Male,25 - 45,1,4,M,0
246,Male,Greater than 45,0,1,M,0
247,Male,25 - 45,1,,F,1
248,Male,25 - 45,0,8,M,1
250,Male,Less than 25,0,1,M,1
253,,25 - 45,0,8,F,1
254,Male,25 - 45,0,4,F,0
255,,Less than 25,1,3,M,1
256,Female,Less than 25,0,1,M,1
260,,Less than 25,0,,F,1
262,Male,25 - 45,1,1,M,0
264,Male,25 - 45,1,2,F,1
266,Male,25 - 45,1,4,F,0
267,Male,25 - 45,0,2,M,0
269,Male,Less than 25,1,0,F,0
271,Female,Greater than 45,1,0,F,0
273,Female,Greater than 45,1,0,F,0
275,Male,25 - 45,0,0,F,0
276,Male,25 - 45,0,0,F,1
277,Male,25 - 45,1,11,F,1
278,,Less than 25,1,3,M,1
279,Female,Less than 25,0,1,F,0
280,Male,25 - 45,1,2,F,0
281,Male,25 - 45,0,2,F,0
284,Male,25 - 45,1,24,M,0
285,Male,Greater than 45,1,3,F,1
286,,25 - 45,1,0,F,0
287,Male,25 - 45,0,3,F,0
288,Male,25 - 45,1,3,M,1
289,Male,Greater than 45,0,1,M,0
290,Male,Greater than 45,0,6,F,1
291,Male,Greater than 45,0,3,F,0
295,Male,25 - 45,0,5,M,0
298,Male,Less than 25,0,0,F,1
300,Male,25 - 45,1,2,F,0
301,Male,25 - 45,1,6,F,1
303,Male,25 - 45,0,1,M,1
304,Male,Greater than 45,0,2,F,0
305,Female,Less than 25,1,0,M,0
308,Male,Greater than 45,0,0,F,0
310,Male,25 - 45,0,5,F,0
315,Male,25 - 45,0,,M,1
316,Male,25 - 45,0,3,M,1
317,Female,25 - 45,0,0,F,0
320,,Less than 25,1,0,F,1
321,Female,Greater than 45,0,0,M,0
322,Male,Greater than 45,0,0,M,0
323,Male,25 - 45,1,7,F,0
324,Male,Less than 25,1,0,F,1
325,,Greater than 45,0,6,F,0
326,Male,25 - 45,0,8,F,0
328,Male,Greater than 45,0,36,F,1
329,Male,25 - 45,0,2,M,1
330,Male,Greater than 45,1,1,F,0
333,,25 - 45,0,2,M,1
335,Male,25 - 45,0,,F,0
337,Male,25 - 45,0,0,M,0
338,Male,Less than 25,1,0,F,0
341,Male,25 - 45,1,0,F,0
342,Female,25 - 45,0,0,M,0
345,Female,25 - 45,1,,F,0
347,Male,Less than 25,1,1,F,0
348,Male,Greater than 45,1,3,F,0
350,Male,25 - 45,0,0,F,0
351,Male,Less than 25,1,2,F,1
354,Female,Less than 25,0,0,F,0
355,Male,Greater than 45,0,0,M,0
356,Male,Less than 25,0,2,F,0
358,Male,Less than 25,0,0,F,0
359,Female,Less than 25,1,0,F,1
360,Male,Greater than 45,1,3,F,0
361,Male,25 - 45,1,2,M,0
362,Female,Greater than 45,0,0,M,0
363,Female,25 - 45,1,0,M,0
368,Male,25 - 45,0,0,F,0
370,Male,Less than 25,0,2,M,1
371,,Greater than 45,1,18,F,0
374,Male,25 - 45,0,1,M,0
375,Female,Greater than 45,0,1,M,1
376,Male,25 - 45,0,0,F,1
377,Male,25 - 45,1,7,F,1
378,Female,Greater than 45,0,1,M,0
379,Female,Less than 25,1,,F,0
382,Male,Less than 25,0,1,M,0
383,Male,25 - 45,1,,F,1
384,Male,Less than 25,1,4,F,1
385,Male,Less than 25,0,3,M,0
386,Male,25 - 45,1,23,F,1
387,Male,25 - 45,1,2,F,0
391,,Greater than 45,0,23,F,1
392,Female,Greater than 45,0,0,M,0
393,Male,25 - 45,1,12,F,1
395,Male,25 - 45,0,3,M,0
397,Male,Greater than 45,0,5,F,1
398,Male,25 - 45,1,,F,1
399,Male,25 - 45,1,,F,0
402,Male,25 - 45,0,0,F,0
403,Male,Greater than 45,0,2,F,0
404,Male,Greater than 45,1,5,F,0
405,Male,25 - 45,1,9,F,1
406,Male,Greater than 45,0,4,F,1
407,Male,25 - 45,1,3,F,0
410,Female,25 - 45,0,0,M,0
411,Male,Greater than 45,0,0,M,0
413,Female,25 - 45,1,,F,1
415,Male,25 - 45,0,0,M,1
417,Male,Less than 25,0,0,F,0
418,Female,Greater than 45,0,2,M,0
419,Male,25 - 45,1,,M,1
420,Male,Less than 25,0,1,F,1
421,Male,25 - 45,1,8,F,1
423,Male,Less than 25,1,0,F,1
424,Male,25 - 45,0,0,M,1
426,Male,Greater than 45,1,21,M,1
427,Male,Less than 25,1,,F,0
429,Male,25 - 45,0,0,F,0
430,Male,Greater than 45,1,,F,1
431,Male,25 - 45,0,3,M,0
432,Male,25 - 45,1,3,F,0
433,Male,Less than 25,0,3,F,1
434,Male,25 - 45,0,0,F,0
435,Male,25 - 45,1,2,F,0
436,Female,Less than 25,1,3,F,1
437,Male,Less than 25,0,1,F,1
438,Male,25 - 45,0,2,M,0
439,,Less than 25,0,0,F,0
440,Male,25 - 45,0,0,M,0
442,Male,Less than 25,1,1,F,1
445,Male,Greater than 45,0,4,F,0
446,Female,Greater than 45,1,3,F,0
447,Male,25 - 45,1,1,M,0
448,Male,25 - 45,1,5,F,0
449,Male,Less than 25,0,0,M,0
451,Female,Greater than 45,1,2,F,1
452,,25 - 45,0,0,M,1
454,Male,25 - 45,1,,M,1
455,Female,Greater than 45,1,16,F,0
457,Male,25 - 45,1,3,F,1
458,Male,Greater than 45,0,6,F,1
459,Male,25 - 45,0,1,F,1
463,Male,25 - 45,1,5,F,0
464,,Greater than 45,0,2,F,0
465,Male,25 - 45,1,0,F,0
466,Male,Less than 25,1,6,F,0
467,Male,Greater than 45,1,28,F,1
468,Male,25 - 45,1,8,F,1
469,Female,Less than 25,1,6,F,1
471,Male,Greater than 45,1,12,M,1
472,Male,Less than 25,0,1,M,1
474,Male,Less than 25,1,1,F,1
475,Male,Greater than 45,0,0,F,0
477,Male,25 - 45,0,3,F,0
478,Male,Greater than 45,0,3,F,0
479,Male,25 - 45,0,4,F,1
480,Male,Greater than 45,0,0,F,0
482,Male,Greater than 45,0,1,F,1
486,Female,Less than 25,0,6,F,1
487,Male,Less than 25,0,2,M,1
490,Male,25 - 45,1,1,F,0
491,,25 - 45,0,,M,0
492,,25 - 45,0,6,F,1
493,Male,25 - 45,0,0,M,1
495,Male,25 - 45,1,4,F,1
496,Female,Greater than 45,0,0,M,0
500,Male,25 - 45,0,1,M,1
503,Male,Greater than 45,1,,F,1
504,Male,25 - 45,0,2,F,0
505,Male,Greater than 45,0,1,M,0
506,Male,25 - 45,0,1,F,0
508,,Greater than 45,0,4,M,0
511,Female,25 - 45,1,0,M,0
512,,Greater than 45,0,0,M,0
518,Male,Greater than 45,1,10,F,1
519,Male,25 - 45,1,5,F,1
520,Male,Less than 25,0,0,F,0
521,Male,Greater than 45,0,1,F,1
522,Male,Greater than 45,1,0,M,1
523,Male,Greater than 45,1,4,M,0
525,,25 - 45,0,4,F,1
526,Male,Less than 25,0,0,F,0
527,Male,Less than 25,0,0,M,0
528,Male,25 - 45,0,,F,0
530,Male,25 - 45,1,0,F,0
531,Male,25 - 45,1,6,F,1
532,Male,25 - 45,0,1,F,1
533,,Less than 25,0,0,F,1
535,Male,25 - 45,0,0,F,0
537,Male,25 - 45,1,0,F,0
539,Male,Less than 25,0,9,M,1
540,,Less than 25,0,6,F,1
542,Male,Greater than 45,0,1,M,0
543,Male,25 - 45,1,5,F,1
545,Male,Greater than 45,0,2,F,1
546,Male,25 - 45,1,1,M,0
547,Male,25 - 45,1,0,F,0
548,Male,Less than 25,0,2,F,0
550,Male,25 - 45,1,8,F,0
555,Male,Less than 25,1,3,F,1
556,,Greater than 45,0,1,M,0
557,Male,Less than 25,1,3,F,1
558,Male,Greater than 45,1,3,M,0
559,Male,25 - 45,1,0,F,0
560,Male,25 - 45,0,1,F,0
562,Female,25 - 45,1,,M,0
563,Male,Less than 25,1,1,F,0
564,Male,25 - 45,0,2,F,1
565,Male,25 - 45,0,5,F,0
567,Male,25 - 45,1,5,M,1
568,Male,25 - 45,0,11,M,0
569,Female,25 - 45,1,6,F,1
570,Male,25 - 45,0,0,M,0
571,Male,25 - 45,1,15,F,0
574,Male,Less than 25,0,1,F,0
576,Female,Greater than 45,0,2,M,1
577,Male,Greater than 45,0,5,F,1
578,Male,25 - 45,0,8,F,1
579,Male,Greater than 45,0,0,M,1
580,Female,Greater than 45,0,0,M,0
582,Female,Less than 25,0,,M,0
583,Male,Less than 25,0,1,M,0
591,Female,Less than 25,0,0,F,0
592,Male,25 - 45,1,0,M,0
595,Female,Less than 25,0,0,F,0
597,Male,25 - 45,1,,M,1
598,Male,25 - 45,1,3,M,1
601,Male,Less than 25,1,11,F,1
602,Female,25 - 45,1,1,F,0
605,Male,25 - 45,0,6,F,1
607,Female,Greater than 45,0,0,M,0
608,Male,25 - 45,0,,M,0
610,,25 - 45,0,0,F,0
611,Male,Less than 25,1,0,F,1
614,Male,Greater than 45,0,,M,0
616,Male,25 - 45,0,2,M,1
617,Male,25 - 45,1,10,F,0
618,Male,25 - 45,1,6,M,0
619,Male,Greater than 45,1,9,M,1
620,Female,Less than 25,0,3,F,0
621,Female,Less than 25,1,0,M,0
622,Female,Less than 25,0,2,F,1
624,Male,25 - 45,1,0,M,0
625,Male,Greater than 45,1,15,F,1
626,Male,Less than 25,1,4,F,1
628,Male,Less than 25,1,4,F,1
629,Male,25 - 45,0,3,F,1
630,Male,25 - 45,0,5,M,0
631,Male,25 - 45,0,1,F,0
632,Male,Less than 25,0,3,F,1
633,Male,25 - 45,1,0,F,0
634,Male,25 - 45,1,18,F,1
635,Female,25 - 45,0,0,F,1
637,Female,Greater than 45,1,4,F,1
638,Female,Greater than 45,0,0,M,1
639,Male,Less than 25,1,0,F,0
640,Female,Less than 25,1,0,F,0
641,,25 - 45,1,0,F,0
642,Male,Less than 25,0,1,F,1
643,Male,Less than 25,0,2,F,1
644,Male,25 - 45,0,,F,1
646,Female,25 - 45,1,10,F,0
647,Female,Greater than 45,0,1,F,0
649,Male,25 - 45,0,2,F,1
650,Male,25 - 45,1,0,F,1
653,Male,25 - 45,1,13,F,1
654,,25 - 45,0,1,F,1
657,Male,Less than 25,1,3,F,0
658,Male,25 - 45,1,1,M,1
660,Male,Greater than 45,1,2,M,1
661,Male,25 - 45,1,0,M,0
663,Male,Greater than 45,0,,M,0
665,Male,Less than 25,1,0,F,0
666,Male,25 - 45,1,11,F,0
668,Male,25 - 45,0,5,F,0
671,Female,25 - 45,1,0,M,0
672,Female,Greater than 45,0,2,F,0
674,Male,25 - 45,1,0,M,1
675,Male,Greater than 45,1,17,F,1
676,Male,Less than 25,1,3,F,0
677,Female,25 - 45,0,0,M,0
678,Female,25 - 45,0,15,F,1
681,Male,25 - 45,1,3,F,0
683,Male,Greater than 45,0,3,F,1
684,,25 - 45,1,15,F,1
685,Female,25 - 45,1,2,F,0
686,Male,25 - 45,1,5,F,0
687,Male,25 - 45,1,4,M,0
689,Male,25 - 45,1,14,F,1
690,Male,Greater than 45,0,2,F,0
691,Male,25 - 45,1,3,M,1
692,Male,Less than 25,1,2,F,0
693,Male,25 - 45,1,4,F,1
694,Male,Greater than 45,0,2,F,1
695,Male,Greater than 45,1,,F,1
696,,25 - 45,1,2,M,0
697,Male,Less than 25,1,1,M,0
698,Male,25 - 45,1,1,F,0
699,Male,Greater than 45,1,0,F,0
700,Male,25 - 45,1,6,F,0
703,Male,25 - 45,0,1,F,0
704,,Greater than 45,0,9,F,1
705,Male,Greater than 45,0,1,F,0
706,Male,25 - 45,1,8,F,0
709,Female,Greater than 45,0,2,F,0
710,Male,Less than 25,1,0,F,1
711,Male,25 - 45,1,5,F,1
713,,Greater than 45,1,18,F,1
716,Male,25 - 45,0,1,F,1
717,Male,Greater than 45,0,0,F,0
718,Male,25 - 45,0,0,M,1
720,,Less than 25,0,0,M,0
721,Male,25 - 45,0,0,F,1
722,Male,Greater than 45,0,0,M,0
723,Male,25 - 45,0,2,M,0
724,Male,Less than 25,0,1,F,0
727,Male,25 - 45,0,11,F,1
728,Male,25 - 45,0,1,F,0
729,Male,Less than 25,0,1,F,1
731,Female,25 - 45,1,,F,1
732,Male,Greater than 45,1,2,F,0
733,Female,Greater than 45,0,1,F,0
734,Male,Less than 25,1,6,F,1
736,Male,25 - 45,1,0,F,0
737,Male,Less than 25,1,0,F,0
739,,25 - 45,1,,F,1
741,Female,Less than 25,0,0,M,0
743,Male,25 - 45,0,22,F,1
744,Male,Less than 25,1,0,F,1
745,Female,Greater than 45,0,0,F,0
746,Male,Less than 25,0,1,F,0
749,Male,Greater than 45,1,8,F,0
750,,25 - 45,1,10,M,0
751,Female,25 - 45,1,0,F,0
753,Female,25 - 45,1,,F,0
757,Female,Greater than 45,1,19,F,1
760,Female,Less than 25,0,1,F,1
763,Male,Greater than 45,0,18,F,1
764,Female,Greater than 45,1,0,F,0
765,Female,Less than 25,1,0,F,0
766,Male,25 - 45,1,5,F,1
767,Male,25 - 45,1,6,F,0
769,Male,25 - 45,1,4,F,1
770,Male,25 - 45,1,2,M,0
771,Male,25 - 45,1,1,M,0
774,Male,25 - 45,1,0,M,0
776,Male,25 - 45,0,0,M,0
777,Male,Greater than 45,0,0,M,0
779,Female,25 - 45,1,4,F,0
780,Male,Less than 25,0,,M,1
781,Male,Less than 25,0,2,F,1
782,,Less than 25,0,0,F,1
783,Male,Greater than 45,1,11,F,0
784,Male,Greater than 45,0,0,F,0
787,Male,25 - 45,0,,M,0
789,Male,25 - 45,0,2,M,0
791,Male,25 - 45,1,22,F,1
795,Male,25 - 45,0,2,F,1
796,Male,Greater than 45,0,2,M,0
797,Male,Less than 25,0,0,F,0
798,Female,Less than 25,1,1,M,1
799,Female,25 - 45,1,1,M,0
801,Male,25 - 45,0,2,F,0
803,Female,25 - 45,1,,M,0
804,Male,25 - 45,1,0,F,0
806,Male,25 - 45,1,17,F,1
807,Female,Less than 25,0,1,M,1
810,Female,25 - 45,0,1,F,0
811,Male,25 - 45,1,7,F,0
813,Male,25 - 45,0,0,M,0
814,Male,25 - 45,0,8,F,0
815,Male,Greater than 45,1,7,M,0
816,Male,25 - 45,1,14,F,1
818,Female,25 - 45,0,1,M,1
821,Male,25 - 45,0,1,M,1
823,Male,25 - 45,0,0,M,0
824,Male,Greater than 45,0,2,F,0
827,,25 - 45,0,2,M,0
831,Male,25 - 45,1,20,F,0
832,Male,25 - 45,1,3,F,1
833,Male,Greater than 45,1,25,F,1
834,Male,Less than 25,1,1,M,1
835,Male,Greater than 45,1,9,M,1
836,Male,25 - 45,0,5,F,1
837,Male,Greater than 45,1,4,M,1
838,Male,25 - 45,1,4,M,0
839,Male,Greater than 45,0,,M,0
840,Male,25 - 45,1,1,F,1
843,Male,25 - 45,1,6,F,1
845,,Greater than 45,0,0,F,0
846,Male,Less than 25,1,1,M,1
847,Male,25 - 45,0,4,M,1
848,Female,25 - 45,0,1,M,1
849,Male,Less than 25,1,1,F,0
850,Male,Less than 25,1,1,F,1
851,Male,Less than 25,0,3,F,1
852,Male,25 - 45,1,4,M,1
853,,Greater than 45,0,1,F,0
854,Male,Less than 25,1,5,F,1
855,Male,25 - 45,0,0,F,0
856,Male,Greater than 45,0,0,F,0
858,Male,Less than 25,1,7,M,0
859,Female,Less than 25,0,0,M,0
861,Male,25 - 45,1,1,F,0
862,Male,25 - 45,1,9,M,0
863,Male,25 - 45,1,,F,1
864,Female,Less than 25,0,1,F,0
866,Male,25 - 45,1,25,M,1
867,Male,Less than 25,1,0,F,0
868,Male,25 - 45,1,13,F,1
870,Male,Greater than 45,1,5,M,1
871,Female,25 - 45,1,4,F,0
872,Male,25 - 45,0,0,F,0
874,Male,Less than 25,1,3,F,0
875,Female,25 - 45,1,1,M,0
876,Male,Less than 25,0,1,F,1
877,Male,25 - 45,0,3,F,0
878,Male,Less than 25,1,6,F,1
880,Male,25 - 45,1,1,F,0
881,Female,25 - 45,0,4,M,0
882,Male,Greater than 45,0,1,F,0
884,Male,25 - 45,1,1,F,0
886,Male,Greater than 45,1,3,F,0
887,Male,Less than 25,0,1,M,1
888,Male,25 - 45,1,4,F,0
889,Female,25 - 45,0,1,F,1
890,Female,25 - 45,1,1,F,0
892,,25 - 45,1,9,F,1
893,Male,25 - 45,0,0,F,1
894,Male,Greater than 45,0,1,F,1
897,Male,25 - 45,1,3,M,1
898,Male,25 - 45,1,3,F,1
899,Male,25 - 45,1,5,M,1
901,Female,25 - 45,0,0,M,0
903,Male,25 - 45,0,4,M,0
904,Female,25 - 45,0,,M,0
905,Female,Greater than 45,0,0,M,0
906,Male,Less than 25,0,0,F,0
909,Male,25 - 45,1,6,M,1
910,Male,Less than 25,1,1,F,1
911,,Greater than 45,1,2,F,1
913,Male,Greater than 45,0,1,F,0
914,,25 - 45,1,4,M,1
915,Female,Greater than 45,0,1,F,1
916,Male,Greater than 45,1,3,F,1
917,Male,Less than 25,1,2,F,1
919,Male,Greater than 45,1,3,M,0
920,Male,25 - 45,0,2,F,0
921,Male,Greater than 45,1,0,M,0
922,Male,Less than 25,1,5,F,1
928,Female,25 - 45,0,1,M,0
930,Male,Greater than 45,0,4,F,1
931,Male,25 - 45,1,14,F,1
932,Male,Less than 25,1,,F,0
933,,25 - 45,1,5,F,1
935,Male,25 - 45,0,1,F,0
937,Male,25 - 45,1,2,M,1
939,Female,25 - 45,0,0,F,0
940,Male,Less than 25,0,0,F,0
941,Male,25 - 45,1,1,M,1
942,Male,Greater than 45,1,0,F,1
943,Male,25 - 45,1,7,F,1
944,Male,25 - 45,0,2,F,0
945,Male,25 - 45,0,5,F,0
946,Male,Less than 25,0,0,M,0
947,Female,Less than 25,0,0,M,1
949,Male,25 - 45,1,10,F,1
950,,Less than 25,0,0,M,0
952,Male,Less than 25,1,2,F,1
956,Male,25 - 45,1,10,F,1
958,Male,Less than 25,0,2,M,1
959,Male,25 - 45,0,2,F,0
960,Male,25 - 45,1,0,M,1
961,Female,Less than 25,1,0,F,0
963,Male,Greater than 45,1,6,M,1
964,Male,25 - 45,1,0,F,0
965,Female,Less than 25,1,6,M,0
966,Male,25 - 45,1,1,M,0
967,Male,25 - 45,0,8,F,1
970,Male,25 - 45,1,5,M,1
971,Male,25 - 45,1,,M,1
972,Female,25 - 45,1,3,F,0
974,Male,25 - 45,0,8,F,0
975,Male,Greater than 45,0,1,F,0
977,Male,25 - 45,0,0,M,0
978,Male,Less than 25,1,0,F,1
979,Female,25 - 45,0,4,F,1
989,Male,Less than 25,0,2,F,0
992,Male,25 - 45,1,5,F,0
997,,25 - 45,1,1,F,0
998,Male,25 - 45,1,2,F,0
1001,Male,25 - 45,0,6,F,0
1004,Male,25 - 45,1,17,M,1
1005,Male,25 - 45,1,11,M,1
1008,Male,Less than 25,1,1,F,1
1009,Male,Greater than 45,0,1,F,0
1013,Male,25 - 45,1,5,F,1
1014,Female,Greater than 45,1,0,F,0
1015,Female,25 - 45,1,3,M,0
1016,Male,Less than 25,0,3,M,0
1019,Female,Greater than 45,1,5,F,0
1020,Male,25 - 45,1,16,F,1
1023,Female,25 - 45,1,5,M,1
1024,,Greater than 45,0,,F,0
1026,Male,Less than 25,1,1,M,0
1027,Male,25 - 45,1,3,M,1
1028,Male,25 - 45,1,,M,1
1030,Male,25 - 45,0,1,F,0
1031,Male,Greater than 45,0,5,M,0
1033,Male,Greater than 45,0,2,F,0
1035,Male,25 - 45,1,0,M,1
1036,Female,Greater than 45,0,0,M,0
1038,,Greater than 45,1,17,F,1
1040,Male,25 - 45,1,0,F,0
1041,Female,25 - 45,0,0,M,0
1042,Male,25 - 45,0,2,M,1
1043,Male,25 - 45,1,2,M,0
1044,Male,25 - 45,1,4,M,1
1046,Female,25 - 45,1,0,F,0
1047,Female,25 - 45,1,4,F,1
1048,,Greater than 45,0,30,M,1
1049,Male,Greater than 45,1,4,F,0
1051,,25 - 45,0,,F,0
1053,Male,Greater than 45,0,0,F,0
1054,Male,Greater than 45,1,2,F,0
1056,Male,Less than 25,1,5,F,1
1058,Male,25 - 45,1,0,F,1
1059,Female,Less than 25,1,,F,0
1061,Female,Greater than 45,0,,F,0
1062,Male,Greater than 45,0,1,F,1
1063,,25 - 45,1,8,F,1
1064,Male,25 - 45,0,3,F,0
1065,Male,25 - 45,1,1,F,0
1066,Male,Greater than 45,1,10,F,1
1068,Male,Greater than 45,0,2,M,0
1069,Male,25 - 45,0,1,M,0
1070,Male,25 - 45,0,0,F,0
1074,Male,Greater than 45,0,0,F,0
1075,Male,Greater than 45,1,1,F,1
1076,Male,Greater than 45,0,2,F,0
1077,Male,25 - 45,0,6,M,0
1078,Male,Less than 25,1,1,M,1
1080,Male,25 - 45,1,0,F,0
1082,Male,25 - 45,1,9,F,1
1084,,25 - 45,0,2,M,0
1085,Male,25 - 45,1,1,M,0
1086,,Greater than 45,0,2,F,1
1087,Male,Less than 25,0,0,M,1
1088,Male,25 - 45,1,18,M,0
1089,Female,25 - 45,0,5,F,1
1091,Female,Less than 25,1,,F,0
1092,,25 - 45,0,7,M,1
1093,Male,Less than 25,1,1,F,0
1094,Female,Greater than 45,0,1,M,0
1095,Male,Greater than 45,1,3,F,0
1096,Male,Greater than 45,0,8,F,0
1097,Male,Greater than 45,1,,F,0
1098,Male,25 - 45,0,3,F,0
1100,Female,Less than 25,0,,F,0
1104,Male,Greater than 45,0,3,M,1
1105,Male,25 - 45,0,4,M,0
1106,Male,Greater than 45,0,1,M,0
